lord_id,name,alliance_id,alliance_tag,town_center,home_server,in_power_rankings,power,map_id,units_killed,faction,merits,highest_power,legion_power,tech_power,building_power,hero_power,units_dead,units_healed,city_sieges,defeats,victories,scouted,gold,wood,ore,mana,gems,resources_given,resources_given_count,helps_given,gold_spent,wood_spent,stone_spent,mana_spent,gems_spent,killcount_t5,killcount_t4,killcount_t3,killcount_t2,killcount_t1
8086853,Fernando Kaidoo,332840,vlr,23,193,True,8830511,193,338339,Wilderburg,-,8830511,1661840,1346240,4222081,1561350,280923,4915978,47,1360,2925,31,530792691,535748246,454341235,70931609,1517,-,-,880,421837759,420609447,336829947,87237078,17995,8822,59579,65879,42089,153934
8348320,MadamC,201096,~IG~,21,193,True,8688496,193,57205,League of Order,-,8688496,2272545,2021375,2429166,1902410,2244,1221828,-,269,3969,2,406482067,370241867,533763545,16332509,-,825675894,378,3082,845848242,844752073,677249272,98883458,46103,0,0,0,31375,25830
15582959,Ai Sợ Thì Farm,201096,~IG~,21,193,True,8415466,193,62570,League of Order,7387,8415466,2887018,1863836,2537412,1127200,17523,2015525,-,130,290,-,534003831,971365784,602177875,28199000,-,1321088794,477,2761,1042143188,1266110796,758907743,151593750,31480,1696,60874,0,0,0
16179686,farMacphall,201096,~IG~,21,193,True,8307727,193,12918,League of Order,-,8307727,2315479,2039158,2107590,1764500,3636,696418,-,69,1153,-,573360342,548214499,296556093,42111412,-,960168034,370,3128,1039251529,1056936364,579271304,145600990,68147,0,0,0,0,0
8568293,ShAndre3,197095,-IA-,21,193,True,8233406,193,524059,League of Order,131599,8233406,2354339,1301273,2574044,2003750,74,7083047,2,284,4177,-,489773395,516465891,331403155,38293568,710,518101559,202,6193,686982921,725579858,445197831,109172978,19100,167769,123130,0,116390,115556
14924094,scorpyyy,197095,-IA-,21,193,True,8212783,193,115818,League of Order,9697,8212783,2677378,1552235,1894910,2073260,23572,3113754,-,400,1879,1,513154418,526135176,347828052,41390047,-,1189301267,529,5336,1019806346,1035293895,691917658,149308791,98123,46294,2860,0,0,66664
8266855,ᴬᵏツLordbLacK,-,-,22,193,True,8162362,193,4378913,League of Order,-,8162369,2284006,1328380,2902266,1647710,18071,7324263,12,2287,3024,246,72121228,81821086,102952043,57377646,209,2,2,16993,-,-,-,-,-,13662,715540,1592142,1457817,577784
1439682,Rasska farm 4,197095,-IA-,21,193,True,8012985,193,31491,Springwardens,-,8012985,2052892,1628133,1959580,2372380,13910,1763851,-,211,3346,-,279558862,243819675,129281777,46430655,190,305025303,134,3207,637027481,633659439,339529090,108528304,69197,309,30115,185,781,101
6763742,Ｍｒ ｂｏｏｍｚ Farm,201096,~IG~,21,193,True,7774752,193,248480,League of Order,3523,7774752,2481270,1472116,2447316,1374050,12678,2173636,-,164,1447,11,299908360,486100826,442321594,52843108,-,582820026,233,6999,322960730,461951048,328084904,66392568,8600,5212,93050,129568,18808,1842
8118940,LeDragonCeleste,-,-,22,193,True,7758303,193,1085639,League of Order,-,9212094,-,1921037,4046596,1790670,173104,1768321,218,316,2408,5,65711510,83870535,99829748,30918599,105,3576285,4,9845,74894119,65638255,46223524,18935300,3090,14584,53255,53969,528862,263349
7435450,Кill0gramm,197095,-IA-,22,193,True,7560300,193,366303,League of Order,-,7560300,1597319,1941221,2569860,1451900,11900,1346572,-,327,1217,16,217681920,2412657511,167750155,36847283,40,1988353343,720,14390,451213345,1943673697,308456169,56069750,10,0,33951,148271,106132,77949
18596467,SAEfarm,197095,-IA-,21,193,True,7323736,193,9379,League of Order,6200,7323736,2410560,1488588,1617948,1806640,-,2198947,-,314,6642,-,434736057,618568170,282569017,117768364,-,916223317,425,6750,897253917,1109483029,549104380,166779325,46535,8940,439,0,0,0
16290091,JustAnotherNoob,197158,~ID~,21,193,True,7262873,193,-,Wilderburg,-,7262873,1824215,1492485,2516083,1430090,-,80272,-,22,552,-,330497947,438939691,264766711,48048841,-,-,-,2625,404150800,386454600,254824271,105110470,27822,0,0,0,0,0
6367375,Yaakoub,201096,~IG~,21,193,True,7178961,193,341903,League of Order,-,7178961,1708253,2292909,1917349,1260450,104047,8097904,1,144,1825,30,856879152,609815450,614314886,15229501,60,1549668042,575,11558,1060639239,909078642,650876826,98974596,37550,429,68609,68921,102766,101148
12197296,SokolFarm,-,-,22,193,True,6977154,193,21495453,Wilderburg,-,9326147,-,2108284,3742300,1126570,84556,5085238,-,136,2136,-,417125085,388036390,250215315,87591240,180,-,-,5106,384569253,373994893,245100004,121709338,10807,24528,322958,202,0,21147765
19310274,klamirkfarm,197095,-IA-,21,193,True,6947107,193,4185785,League of Order,59203,6947107,2215332,1300796,1557869,1873110,-,2767058,-,618,6743,-,352552058,536341759,236010020,93335579,-,626534769,232,7589,744072670,884515526,401456628,139114017,41290,5798,26836,0,0,4153151
3169151,Darkraid Farm,197095,-IA-,21,193,True,6595267,193,445702,League of Order,-,6595267,1744886,1063460,2034947,1727740,19047,888561,5,271,1323,31,90631480,95967834,131374724,38655720,-,-,-,6302,250897600,246460240,143718029,67386180,37213,0,14193,33560,277588,113925
